;INDREP_red;iris;libcom17;lib_com16;lib_dep;REG;reg16;lib_reg;lib_reg16;LIB_EPCI16;BAT_red;CODEPOSTAL_red;CODSEGPATRIM_red;COMPLGEO_red;COMPLIDENT_red;construct_red;CONV_red;COULOIR_red;CUS_red;DATCONV_red;DEP;DEPCOM_red;depcom_red16;DPEDATE_red;DPEENERGIE_red;DPESERRE_red;DROIT_red;ENTREE_red;EPCI16;ESC_red;ETAGE_red;finan_red;IMMEU_red;LIBSEGPATRIM_red;LIEUDIT_red;locat_red;nbpiece_red;NOMVOIE_red;NUMAPPT_red;NUMBOITE_red;NUMCONV_red;NUMVOIE_red;origine_red;patrimoine_red;QPV_red;SRU_ALINEA_red;SRU_EXPIR_red;surfhab_red;TYPECONST_red;TYPVOIE_red;x;y;latitude;longitude;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district
19478;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;1;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;TRUE;244400404;5;3;12;1;AGENCE GOUDY;NA;1986;3;RUE CRUCY;46;;4486038M;31;1;1986;2;1;2020;73;C;RUE;355829.9;6689117.2;47.213073;-1.549822;31 Rue Crucy 44000 Nantes;0.98;housenumber;44109_2336_00031;31;Rue Crucy;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19479;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;1;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;TRUE;244400404;5;3;12;1;AGENCE GOUDY;NA;1986;3;RUE CRUCY;47;;4486038M;31;1;1986;2;1;2020;72;C;RUE;355829.9;6689117.2;47.213073;-1.549822;31 Rue Crucy 44000 Nantes;0.98;housenumber;44109_2336_00031;31;Rue Crucy;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19480;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;1;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;TRUE;244400404;5;3;12;1;AGENCE GOUDY;NA;1986;4;RUE CRUCY;48;;4486038M;31;1;1986;2;1;2020;74;C;RUE;355829.9;6689117.2;47.213073;-1.549822;31 Rue Crucy 44000 Nantes;0.98;housenumber;44109_2336_00031;31;Rue Crucy;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19481;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;2;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;NA;244400404;1;0;12;2;AGENCE GOUDY;NA;1986;2;PASSAGE DU CARROUSEL;1;;4486038M;16;1;1986;2;1;2020;57;C;PASSAGE;355899.9;6689103.8;47.213016;-1.548875;16 Passage du Carrousel 44000 Nantes;0.97;housenumber;44109_1472_00016;16;Passage du Carrousel;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19482;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;2;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;NA;244400404;1;0;12;2;AGENCE GOUDY;NA;1986;2;PASSAGE DU CARROUSEL;2;;4486038M;16;1;1986;2;1;2020;54;C;PASSAGE;355899.9;6689103.8;47.213016;-1.548875;16 Passage du Carrousel 44000 Nantes;0.97;housenumber;44109_1472_00016;16;Passage du Carrousel;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19483;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;2;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;NA;244400404;1;1;12;2;AGENCE GOUDY;NA;1986;3;PASSAGE DU CARROUSEL;3;;4486038M;16;1;1986;2;1;2020;70;C;PASSAGE;355899.9;6689103.8;47.213016;-1.548875;16 Passage du Carrousel 44000 Nantes;0.97;housenumber;44109_1472_00016;16;Passage du Carrousel;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19484;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;2;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;NA;244400404;1;1;12;2;AGENCE GOUDY;NA;1986;4;PASSAGE DU CARROUSEL;4;;4486038M;16;1;1986;2;1;2020;85;C;PASSAGE;355899.9;6689103.8;47.213016;-1.548875;16 Passage du Carrousel 44000 Nantes;0.97;housenumber;44109_1472_00016;16;Passage du Carrousel;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19485;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;2;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;NA;244400404;1;2;12;2;AGENCE GOUDY;NA;1986;3;PASSAGE DU CARROUSEL;5;;4486038M;16;1;1986;2;1;2020;73;C;PASSAGE;355899.9;6689103.8;47.213016;-1.548875;16 Passage du Carrousel 44000 Nantes;0.97;housenumber;44109_1472_00016;16;Passage du Carrousel;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19486;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;2;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;NA;244400404;1;2;12;2;AGENCE GOUDY;NA;1986;4;PASSAGE DU CARROUSEL;6;;4486038M;16;1;1986;2;1;2020;85;C;PASSAGE;355899.9;6689103.8;47.213016;-1.548875;16 Passage du Carrousel 44000 Nantes;0.97;housenumber;44109_1472_00016;16;Passage du Carrousel;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19487;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;2;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;NA;244400404;1;3;12;2;AGENCE GOUDY;NA;1986;4;PASSAGE DU CARROUSEL;7;;4486038M;16;1;1986;2;1;2020;85;C;PASSAGE;355899.9;6689103.8;47.213016;-1.548875;16 Passage du Carrousel 44000 Nantes;0.97;housenumber;44109_1472_00016;16;Passage du Carrousel;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
